Id,Course,Topic,Original Problem,Codex Input,Solution,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,GPT-3 Response,GPT-3 Evaluation,Nearest Questions
1,Mathematics for Computer Science,Number Theory,"Find the multiplicative inverse of 17 modulo 72 in the range {0, 1, . . . , 71}.",Find the multiplicative inverse of 17 mod 72.,17,"def multiplicative_inverse(a, b):
    """"""
    Find the multiplicative inverse of a mod b.
    """"""
    for i in range(1, b):
        if (a * i) % b == 1:
            return i
    return None

print(multiplicative_inverse(17, 72))","1. It's iterating through the range of 1 to b.
2. It's checking if a * i % b == 1.
3. If it is, it returns i.
4. If it isn't, it returns None.",Correct,Automatic Zero-shot,"for i in range(72):
    if (17 * I) % 72 == 1:
        print(I)
        break",Incorrect,"[2, 27, 4, 15, 20, 28, 8, 10, 11, 24, 14, 9, 16, 25, 5, 22, 7, 3, 6, 13, 17, 26, 23, 19, 18, 21, 12]"
2,Mathematics for Computer Science,Number Theory,"Find a number x ∈ {0, 1, . . . , 112} such that 11x ≡ 1 (mod 113).","Find a number x ∈ {0, 1, . . . , 112} such that 11x ≡ 1 (mod 113).",72,"def find_x(n):
    for x in range(n):
        if (11*x) % n == 1:
            return x
    return None

print(find_x(113))","1. It's iterating through all the numbers from 0 to 112.
2. For each number, it's checking if 11x ≡ 1 (mod 113).
3. If it finds a number that satisfies the equation, it returns that number.
4. If it doesn't find a number that satisfies the equation, it returns None.",Correct,Automatic Zero-shot,"for i in range(113):
    if 11 * i % 113 == 1:
        print(i)
        break",Correct,"[1, 27, 28, 15, 24, 4, 20, 8, 10, 11, 14, 25, 9, 16, 22, 5, 6, 7, 3, 17, 13, 26, 19, 23, 18, 21, 12]"
3,Mathematics for Computer Science,Probability,"Finalphobia is a rare disease in which the victim has the delusion that he or she is being subjected to an intense mathematical examination. A person selected uniformly at random has finalphobia with probability 1/100. A person with finalphobia has shaky hands with probability 9/10. A person without finalphobia has shaky hands with probability 1/20. What is the probablility that a person selected uniformly at random has finalphobia, given that he or she has shaky hands? ","Finalphobia is a rare disease in which the victim has the delusion that he or she is being subjected to an intense mathematical examination. A person selected uniformly at random has finalphobia with probability 1/100. A person with finalphobia has shaky hands with probability 9/10. A person without finalphobia has shaky hands with probability 1/20. What is the probablility that a person selected uniformly at random has finalphobia, given that he or she has shaky hands?",18/117,"def find_solution():
  """"""
  Finalphobia is a rare disease in which the victim has the delusion that he or she is being subjected to an intense mathematical examination. A person selected uniformly at random has finalphobia with probability 1/100. A person with finalphobia has shaky hands with probability 9/10. A person without finalphobia has shaky hands with probability 1/20. What is the probablility that a person selected uniformly at random has finalphobia, given that he or she has shaky hands?
  """"""
  p_f = 1/100
  p_s = 9/10
  p_n = 1/20
  p_f_s = p_f * p_s / (p_f * p_s + p_n * (1 - p_s))
  return p_f_s","1. We are given the probability of having finalphobia, p_f, and the probability of having shaky hands, p_s.
2. We are also given the probability of not having finalphobia, 1 - p_f, and the probability of having shaky hands, p_n.
3. We want to find the probability of having finalphobia, given that we have shaky hands.
4. We can use Bayes' Theorem to find this probability.
5. Bayes' Theorem states that P(A|B) = P(B|A) * P(A) / P(B).
6. We can use this to find the probability of having finalphobia, given that we have shaky hands.
7. We can find P(B) by adding the probabilities of having shaky hands, given that we have finalphobia and given that we don't have finalphobia.
8. We can then plug these values into Bayes' Theorem to find the probability of having finalphobia, given that we have shaky hands.",Correct,Automatic Few-shot,"# P(F|S) = P(S|F)P(F)/P(S)
# P(S) = P(S|F)P(F) + P(S|~F)P(~F)
# P(S) = 9/10*1/100 + 1/20*(1-1/100)
# P(S) = 9/1000 + 1/20 - 1/2000
# P(S) = 91/5000
# P(F|S) = 9/10*1/100/91/5000
# P(F|S) = 10/91",Incorrect,"[11, 7, 10, 9, 23, 5, 4, 6, 16, 8, 24, 26, 22, 15, 20, 18, 19, 2, 1, 27, 14, 21, 17, 13, 12, 28, 25]"
4,Mathematics for Computer Science,Probability,Suppose that you roll five 6-sided dice that are fair and mutually independent. What is the probability that all five dice show different values?,You roll five 6-sided fair dice and mutually independent. Write a program to compute the probability that all five dice show different values.,120/1296,"import random

def roll_dice():
    return random.randint(1, 6)

def roll_all_dice():
    return [roll_dice() for _ in range(5)]

def all_different(dice):
    return len(set(dice)) == 5

def main():
    n_trials = 100000
    n_success = 0
    for _ in range(n_trials):
        if all_different(roll_all_dice()):
            n_success += 1
    print(n_success / n_trials)

if __name__ == '__main__':
    main()","1. We define a function roll_dice() that returns a random integer between 1 and 6.
2. We define a function roll_all_dice() that returns a list of five random integers between 1 and 6.
3. We define a function all_different() that takes a list of integers and returns True if all the integers are different and False otherwise.
4. We define a function main() that does the following:
    a. It sets n_trials to 100000.
    b. It sets n_success to 0.
    c. It loops n_trials times, each time doing the following:
        i. It rolls all five dice.
        ii. If all five dice show different values, it increments n_success by 1.
    d. It prints the fraction of trials that were successful.
5. We call main().",Correct,Automatic Zero-shot,# The probability of all five dice showing different values is 1/6^5.,Incorrect,"[8, 15, 20, 16, 24, 10, 11, 1, 2, 14, 9, 27, 7, 6, 3, 5, 28, 22, 26, 25, 13, 17, 19, 18, 23, 21, 12]"
5,Mathematics for Computer Science,Probability,MIT students sometimes delay laundry for a few days. Assume all random values described below are mutually independent. A busy student must complete 3 problem sets before doing laundry. Each problem set requires 1 day with probability 2/3 and 2 days with probability 1/3. Let B be the number of days a busy student delays laundry. What is Ex (B)?  ,MIT students sometimes delay laundry for a few days. Assume all random values described below are mutually independent. Days for illness recovery is u=a*b where a and b are independent dice rolls. What's the expected value of u? ,4,"import numpy as np

a = np.random.randint(1,7,size=100000)
b = np.random.randint(1,7,size=100000)

u = a*b

print(np.mean(u))","1. Generate 100000 random numbers between 1 and 6.
2. Multiply each of these numbers by another 100000 random numbers between 1 and 6.
3. Take the mean of the resulting 100000 numbers.",Correct,Automatic Zero-shot,"# Let X be the number of days a problem set takes to complete.
# Then, X ~ Bernoulli(2/3)
# Let B be the number of days a busy student delays laundry.
# Then, B = X + Y + Z, where X, Y, and Z are independent and identically distributed.
# Therefore, B ~ Binomial(3, 2/3)
# Ex(B) = 3(2/3) = 2",Incorrect,"[7, 6, 11, 9, 10, 3, 4, 8, 24, 26, 22, 15, 18, 16, 20, 21, 14, 2, 1, 12, 23, 19, 13, 27, 17, 28, 25]"
6,Mathematics for Computer Science,Probability,"MIT students sometimes delay laundry for a few days. Assume all random values described below are mutually independent. A relaxed student rolls a fair, 6-sided die in the morning. If he rolls a 1, then he does his laundry immediately (with zero days of delay). Otherwise, he delays for one day and repeats the experiment the following morning. Let R be the number of days a relaxed student delays laundry. What is Ex (R)? ","Roll the 6 sided dice infinitely if you don't get a 1. Don't count the first dice roll toward days, so remember to subtract the right value from return days. return days-1. Roll infinitely until you encounter a 1. Write a program to compute the expected value for number of rolls until 1 is encountered?",5,"import random

def dice_roll():
    return random.randint(1,6)

def roll_until_one():
    days = 0
    while True:
        days += 1
        if dice_roll() == 1:
            return days-1

def expected_rolls():
    total_days = 0
    for i in range(1000000):
        total_days += roll_until_one()
    return total_days/1000000

print(expected_rolls())","1. We define a function that rolls a dice and returns a random number between 1 and 6.
2. We define a function that rolls a dice until it gets a 1. It returns the number of days it took to get a 1.
3. We define a function that rolls a dice until it gets a 1, 1,000,000 times. It returns the average number of days it took to get a 1.",Correct,Automatic Zero-shot,#Expected value of R is 6.,Incorrect,"[7, 5, 9, 11, 10, 4, 8, 3, 24, 26, 18, 15, 20, 22, 16, 21, 2, 12, 23, 14, 1, 19, 13, 17, 27, 28, 25]"
7,Mathematics for Computer Science,Probability,"MIT students sometimes delay laundry for a few days. Assume all random values described below are mutually independent. Before doing laundry, an unlucky student must recover from illness for a number of days equal to the product of the numbers rolled on two fair, 6-sided dice. Let U be the expected number of days an unlucky student delays laundry. What is Ex (U)? ",Roll the 2 x 6-sided dice. The product of the two dice is number of days. What is the expected value for number of days?,49/4,"import random

def roll_dice():
    return random.randint(1,6), random.randint(1,6)

def expected_value(n):
    total = 0
    for i in range(n):
        total += roll_dice()[0] * roll_dice()[1]
    return total / n

print(expected_value(1000000))","1. It's rolling two dice and multiplying the results.
2. It's doing this a million times.
3. It's adding up all the results.
4. It's dividing by a million to get the average.",Correct,Automatic Zero-shot,#Expected value of the product of two dice is 7.,Incorrect,"[5, 6, 11, 10, 3, 9, 4, 8, 26, 24, 18, 16, 22, 15, 20, 21, 23, 12, 14, 2, 1, 19, 27, 13, 17, 28, 25]"
8,Mathematics for Computer Science,Probability,"I have twelve cards: 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6. I shuffle them and deal them in a row. What is the expected number of adjacent pairs with the same value?","I have twelve cards: 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6. 
I shuffle them and deal them in a row. Write a program that computes the average number of adjacent pairs with the same value over 10000 runs",1,"import random

def run_simulation():
    cards = [1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6]
    random.shuffle(cards)
    count = 0
    for i in range(len(cards) - 1):
        if cards[i] == cards[i + 1]:
            count += 1
    return count

def main():
    total = 0
    for i in range(10000):
        total += run_simulation()
    print(total / 10000)

if __name__ == ""__main__"":
    main()","1. We create a list of cards.
2. We shuffle the cards.
3. We count the number of adjacent pairs with the same value.
4. We repeat steps 2 and 3 10000 times.
5. We divide the total number of adjacent pairs by 10000 to get the expected value.",Correct,Automatic Zero-shot,# The expected number of adjacent pairs with the same value is 3.,Incorrect,"[20, 4, 16, 15, 24, 10, 11, 9, 2, 14, 1, 6, 5, 7, 27, 28, 3, 17, 13, 22, 26, 21, 25, 12, 18, 19, 23]"
9,Mathematics for Computer Science,Probability,"Scores for a final exam are given by picking an integer uniformly at random from the set {50, 51, . . . , 97, 98}. The scores of all 128 students in the class are assigned in this manner. Let S1, . . . , S128 be their scores. For i ∈ {1, . . . , 128}, what is E[Si] ? ","Scores for a final exam are given by picking an integer uniformly at random from the set {50, 51, . . . , 97, 98}. 
The scores of 128 students in a class are assigned in this manner. Write a program to compute the mean score?",74,"import random

def mean(n):
    sum = 0
    for i in range(n):
        sum += random.randint(50, 98)
    return sum/n

print(mean(128))","1. It's creating a function called mean that takes in a parameter n.
2. It's creating a variable called sum and setting it equal to 0.
3. It's creating a for loop that iterates n times.
4. It's adding a random integer between 50 and 98 to the sum variable.
5. It's returning the sum divided by n.
6. It's calling the mean function with 128 as the parameter.
7. It's printing the result.",Correct,Automatic Zero-shot,# E[Si] = (50 + 97)/2 = 73.5,Correct,"[10, 11, 8, 24, 5, 6, 4, 7, 3, 20, 15, 16, 1, 2, 22, 13, 18, 14, 27, 26, 17, 28, 23, 19, 21, 12, 25]"
10,Mathematics for Computer Science,Probability,"Scores for a final exam are given by picking an integer uniformly at random from the set {50, 51, . . . , 97, 98}. The scores of all 128 students in the class are assigned independently in this manner. Let S1, . . . , S128 be their scores. Find Var(Si).","Scores for a final exam are given by picking an integer uniformly at random from the set {50, 51, . . . , 97, 98}. 
The scores of 128 students in a class are assigned independently in this manner. Write a program to compute the variance of the score.",200,"import numpy as np

def compute_variance(n):
    scores = np.random.randint(50, 99, n)
    return np.var(scores)

print(compute_variance(128))","1. Generate 128 random integers between 50 and 98.
2. Compute the variance of the 128 random integers.",Correct,Automatic Zero-shot,"# We can use the fact that the variance of a uniform distribution is 1/12.
# So the variance of each student's score is 1/12.
# So the variance of the sum of the scores is 128*1/12 = 16.",Incorrect,"[11, 9, 24, 8, 4, 5, 20, 7, 6, 15, 1, 3, 2, 16, 27, 18, 22, 14, 26, 13, 28, 17, 19, 23, 21, 12, 25]"
